City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,loukhi,66.0764,33.0381,10.680000000000007,97,100,2.15,RU,1690255405
240,zlatograd,41.3833,25.1,18.910000000000025,66,0,1.56,BG,1690255405
241,scarborough,54.2797,-0.4044,10.920000000000016,87,100,1.42,GB,1690255106
242,nizhneangarsk,55.7833,109.55,13.240000000000009,79,100,1.75,RU,1690255406
243,cole harbour,44.6724,-63.4751,22.660000000000025,86,100,2.06,CA,1690255406
244,punta alta,-38.8759,-62.0736,5.600000000000023,73,18,5.81,AR,1690255406
245,ardestan,33.3761,52.3694,30.07000000000005,12,37,2.07,IR,1690255407
246,trincomalee,8.5711,81.2335,28.410000000000025,72,99,9.15,LK,1690255407
247,gadzhiyevo,69.2551,33.3362,9.460000000000036,94,100,3.73,RU,1690255407
248,sona,45.4388,10.8255,20.75,94,40,2.06,IT,1690255407
249,kichmengskiy gorodok,59.9816,45.7854,12.07000000000005,99,100,1.83,RU,1690255407
250,kismayo,-0.3582,42.5454,24.689999999999998,77,84,7.81,SO,1690255408
251,east london,-33.0153,27.9116,5.520000000000039,93,0,1.54,ZA,1690255408
252,wellington,-41.2866,174.7756,13.370000000000005,87,59,5.66,NZ,1690255237
253,mejit,10.2753,170.8646,28.390000000000043,78,100,7.96,MH,1690255274
254,woods creek,47.8787,-121.8985,18.02000000000004,84,100,1.79,US,1690255409
255,nemuro,43.3236,145.575,20.400000000000034,88,20,2.57,JP,1690255410
256,tromso,69.6496,18.957,14.100000000000023,82,100,1.03,NO,1690255150
257,rabo de peixe,37.8,-25.5833,20.730000000000018,78,40,1.54,PT,1690255412
258,sisimiut,66.9395,-53.6735,5.32000000000005,90,53,6.29,GL,1690255416
259,vallenar,-28.5708,-70.7581,15.879999999999995,66,89,0.43,CL,1690255420
260,divrigi,39.371,38.1137,16.090000000000032,81,1,2.33,TR,1690255420
261,aleksandrovsk-sakhalinskiy,50.8975,142.1561,21.460000000000036,74,69,1.72,RU,1690255421
262,mendoza,-32.8908,-68.8272,5.740000000000009,61,0,0.0,AR,1690255233
263,hadibu,12.65,54.0333,25.05000000000001,78,97,11.62,YE,1690255421
264,tidjikja,18.5564,-11.4271,31.730000000000018,46,84,1.69,MR,1690255288
265,narrabri,-30.3167,149.7833,19.730000000000018,49,0,1.34,AU,1690255422
266,olonkinbyen,70.9221,-8.7187,5.230000000000018,90,100,4.71,SJ,1690255422
267,arraial do cabo,-22.9661,-42.0278,20.900000000000034,89,6,9.5,BR,1690255423
268,itamaraca,-7.7478,-34.8256,24.03000000000003,82,18,4.41,BR,1690255423
269,monmouth,40.3001,-74.1663,25.900000000000034,83,0,2.06,US,1690255423
270,luganville,-15.5333,167.1667,24.49000000000001,96,100,2.97,VU,1690255423
271,xining,36.6167,101.7667,23.110000000000014,39,8,0.71,CN,1690255424
272,touros,-5.1989,-35.4608,23.430000000000007,86,12,5.98,BR,1690255424
273,dongola,19.1667,30.4833,30.710000000000036,14,93,2.7,SD,1690255424
274,reggane,26.7158,0.1714,35.379999999999995,8,0,3.34,DZ,1690255425
275,mchinji,-13.7984,32.8802,13.430000000000007,70,1,1.24,MW,1690255425
276,kuta,-8.7233,115.1723,27.970000000000027,78,40,9.39,ID,1690255425
277,floro,61.5996,5.0328,13.980000000000018,88,75,4.63,NO,1690255173
